id,label,kind,system,optic,claim_class,effects,hazard,notes,secondary_id,chakra_id
green-jade,Green Jade,mineral,monoclinic,biaxial,listed-only,,none,jadeite or nephrite; two species possible,,heart
hematite,Hematite,mineral,trigonal,uniaxial,listed-only,,none,Fe2O3,,root
hemimorphite,Hemimorphite,mineral,orthorhombic,biaxial,listed-only,,none,Zn4Si2O7(OH)2.H2O; zinc silicate hydroxide,,throat
herkimer-diamond,Herkimer Diamond,mineral,trigonal,uniaxial,listed-only,,none,double-terminated quartz; not diamond,,none
hiddenite,Hiddenite,mineral,monoclinic,biaxial,listed-only,,none,green spodumene,,none
honey-calcite,Honey Calcite,mineral,trigonal,uniaxial,listed-only,,none,CaCO3 color variety; orange-gold,,solar-plexus
howlite,Howlite,mineral,monoclinic,biaxial,listed-only,,none,often dyed as turquoise simulant,,none
imperial-topaz,Imperial Topaz,mineral,orthorhombic,biaxial,listed-only,,none,golden-orange topaz; Al2SiO4(F,OH)2,,sacral
iolite,Iolite,mineral,orthorhombic,biaxial,listed-only,,none,cordierite; strong pleochroism,,none
jet,Jet,organic,amorphous,isotropic,listed-only,,none,lignite; not a lattice,,root
k2,K2,trade,mixed,mixed,listed-only,,none,granite + azurite orbs; rock not species,,none
kambaba-jasper,Kamabala Jasper,trade,mixed,mixed,listed-only,,none,kambaba; stromatolite rhyolite trade,,none
kiwi-jasper,Kwiw Jasper,trade,mixed,mixed,listed-only,,none,kiwi jasper trade name,,none
kunzite,Kunzite,mineral,monoclinic,biaxial,listed-only,,none,pink spodumene; light-sensitive,,none
labradorite,Labradorite,mineral,triclinic,biaxial,listed-only,,none,plagioclase; labradorescence,,third-eye
lapis-lazuli,Lapis Lazuli,trade,mixed,mixed,listed-only,,none,rock; lazurite + calcite + pyrite,,third-eye
larimar,Larimar,mineral,triclinic,biaxial,listed-only,,none,blue pectolite,,none
lemurian-quartz,Lemurian Quartz,treated,trigonal,uniaxial,listed-only,,none,quartz trade habit; not a separate species,,none
leopardskin-jasper,Leopardskin Jasper,trade,mixed,mixed,listed-only,,none,orbicular rhyolite trade,,none
lepidolite,Lepidolite,mineral,monoclinic,biaxial,listed-only,,none,Li mica,,none
lithium-quartz,Lithium Quartz,mineral,trigonal,uniaxial,listed-only,,none,quartz with Li-mica inclusions,,none
magnesite,Magnesite,mineral,trigonal,uniaxial,listed-only,,none,MgCO3,,none
mahogany-obsidian,Mahogany,glass,amorphous,isotropic,listed-only,,none,mahogany obsidian unless later specified as wood,,none
malachite,Malachite,mineral,monoclinic,biaxial,listed-only,,copper,Cu2CO3(OH)2; dust hazard; do not ingest,,none
mangano-calcite,Mangano Calcite,mineral,trigonal,uniaxial,listed-only,,none,Mn-bearing calcite; often fluorescent,,none
merlinite,Merlinite,trade,mixed,mixed,listed-only,,none,dendritic agate trade; title is not a grant,,none
meteorite,Meotorite,metal,mixed,mixed,listed-only,,metal,meteorite; Fe-Ni or stone; spelling as given,,none
moldavite,Moldavite,glass,amorphous,isotropic,listed-only,,none,tektite; not a crystal lattice,,none
mookaite-jasper,Mookatie Jasper,trade,mixed,mixed,listed-only,,none,mookaite radiolarite trade,,none
moonstone,Moonstone,mineral,monoclinic,biaxial,listed-only,,none,feldspar adularescence,,third-eye
morganite,Morganite,mineral,hexagonal,uniaxial,listed-only,,none,Mn/Cs beryl,,none
moss-agate,Moss Agate,mineral,trigonal,uniaxial,listed-only,,none,chalcedony with dendritic inclusions,,none
muscovite,Muscovite,mineral,monoclinic,biaxial,listed-only,,none,mica,,none
nuumite,Nuumite,trade,mixed,mixed,listed-only,,none,anthophyllite-gedrite rock; Greenland trade,,none
ocean-jasper,Ocean Jasper,trade,mixed,mixed,listed-only,,none,spherulitic chalcedony trade,,none
orange-calcite,Orange Calcite,mineral,trigonal,uniaxial,listed-only,,none,CaCO3 color variety,,none
peridot,Peridot,mineral,orthorhombic,biaxial,listed-only,,none,olivine,,none
petrified-wood,Petrified Wood,mineral,trigonal,uniaxial,listed-only,,none,silicified wood; quartz replacement,,none
picture-jasper,Picture Jasper,trade,mixed,mixed,listed-only,,none,scenic jasper trade,,none
pietersite,Pietersite,mineral,trigonal,uniaxial,listed-only,,none,brecciated tiger-eye quartz,,none
pink-halite,Pink Halite,mineral,cubic,isotropic,listed-only,,soluble,NaCl; do not ingest as work,,none
pink-optical-calcite,Pink Optical Calcite,mineral,trigonal,uniaxial,listed-only,,none,calcite; teaching birefringence,,none
pink-tourmaline,Pink Tourmaline,mineral,trigonal,uniaxial,listed-only,,none,elbaite/rubellite series,,none
pistachio-calcite,Pistachio Calcite,mineral,trigonal,uniaxial,listed-only,,none,CaCO3 color variety,,none
polychrome-jasper,Polychrome Jasper,trade,mixed,mixed,listed-only,,none,desert jasper trade,,none
prehnite,Prehnite,mineral,orthorhombic,biaxial,listed-only,,none,Ca2Al2Si3O10(OH)2,,heart
prophecy-stone,Prophecy Stone,trade,mixed,mixed,listed-only,,none,limonite/goethite concretion trade; not a seer grant,,none
purpurite,Purpurite,mineral,orthorhombic,biaxial,listed-only,,none,Mn phosphate,,none
pyrite,Pyrite,mineral,cubic,isotropic,listed-only,,sulfide,FeS2; may carry As; do not roast,,none
rainbow-moonstone,Rainbow Moonstone,mineral,triclinic,biaxial,listed-only,,none,labradorite trade; not a separate species,,none
red-calcite,Red Calcite,mineral,trigonal,uniaxial,listed-only,,none,CaCO3 color variety,,none
red-coral,Red Coral,biological,none,isotropic,listed-only,,none,biogenic carbonate; not a mineral species,,none
red-jasper,Red Jasper,mineral,trigonal,uniaxial,listed-only,,none,opaque chalcedony,,none
red-tiger-eye,Red Tiger Eye,mineral,trigonal,uniaxial,listed-only,,none,heated/altered tiger-eye quartz,,none
rhodochrosite,Rhodochrosite,mineral,trigonal,uniaxial,listed-only,,none,MnCO3,,none
rhodonite,Rhodonite,mineral,triclinic,biaxial,listed-only,,none,Mn silicate,,none
rhyolite,Rhyolite,trade,mixed,mixed,listed-only,,none,volcanic rock; not one species,,none
rose-quartz,Rose Quartz,mineral,trigonal,uniaxial,listed-only,,none,SiO2 color variety,,heart
ruby,Ruby,mineral,trigonal,uniaxial,listed-only,,none,Cr corundum,,none
ruby-kyanite,Ruby Kyanite,trade,mixed,mixed,listed-only,,none,corundum + kyanite rock,,none
rutilated-quartz,Rutilated Quartz,mineral,trigonal,uniaxial,listed-only,,none,quartz + rutile needles,,none
sardonyx,Sandonyx,mineral,trigonal,uniaxial,listed-only,,none,sardonyx; banded chalcedony,,none
selenite,Selenite,mineral,monoclinic,biaxial,listed-only,,none,gypsum variety,,none
septarian,Septarian,trade,mixed,mixed,listed-only,,none,carbonate concretion,,none
seraphinite,Seraphinite,mineral,monoclinic,biaxial,listed-only,,none,clinochlore trade name,,none
serpentine,Serpentine,mineral,monoclinic,biaxial,listed-only,,none,group; asbestiform habits exist; do not dry-fiber,,solar-plexus
shiva-lingam,Shiva Lingam,trade,mixed,mixed,listed-only,,none,Narmada river stone; sacred object is not a grant,,none
shungite,Shungite,trade,amorphous,isotropic,listed-only,,none,carbonaceous rock; not an EMF shield grant,,none
silver-sheen-obsidian,Silver Sheen Obsidian,glass,amorphous,isotropic,listed-only,,none,obsidian variety,,none
smoky-quartz,Smoky Quartz,mineral,trigonal,uniaxial,listed-only,,none,SiO2 color variety,,root
snowflake-obsidian,Snoflake Obsidian,glass,amorphous,isotropic,listed-only,,none,obsidian + cristobalite spherulites,,none
sodalite,Sodalite,mineral,cubic,isotropic,listed-only,,none,feldspathoid,,third-eye
stellar-beam-calcite,Stellar Beam Calcite,mineral,trigonal,uniaxial,listed-only,,none,calcite habit trade,,none
stilbite,Stilbite,mineral,monoclinic,biaxial,listed-only,,none,zeolite series,,none
sugilite,Sugilite,mineral,hexagonal,uniaxial,listed-only,,none,cyclosilicate,,crown
sulfur,Sulphure,mineral,orthorhombic,biaxial,listed-only,,none,native S; do not burn as work,,none
sunstone,Sunstone,mineral,triclinic,biaxial,listed-only,,none,feldspar aventurescence,,none
super-seven,Super Seen,trade,mixed,mixed,listed-only,,none,super seven assemblage trade; not seven grants,,none
tektite,Tektite,glass,amorphous,isotropic,listed-only,,none,impact glass,,none
tiger-eye,Tiger Eye,mineral,trigonal,uniaxial,listed-only,,none,pseudomorph quartz after crocidolite,,solar-plexus
tiger-iron,Tiger Iron,trade,mixed,mixed,listed-only,,none,tiger-eye + hematite + jasper banded rock,,none
titanium-quartz,Titanium Quartz,treated,trigonal,uniaxial,listed-only,,none,quartz + metal coat,,none
tourmalinated-quartz,Tourminlinated Quartz,mineral,trigonal,uniaxial,listed-only,,none,quartz + tourmaline inclusions,,none
tree-agate,Tree Agate,mineral,trigonal,uniaxial,listed-only,,none,dendritic chalcedony,,none
tremolite,Tremolite,mineral,monoclinic,biaxial,listed-only,,none,amphibole; asbestiform; do not fiber-work,,asbestos
turquoise,Turquoise,mineral,triclinic,biaxial,listed-only,,none,Cu-Al phosphate,,throat
ulexite,Ulexite,mineral,triclinic,biaxial,listed-only,,none,TV-stone fiber optic habit,,none
unakite,Unakite,trade,mixed,mixed,listed-only,,none,epidote + feldspar + quartz rock,,none
vanadinite,Vanadnite,mineral,hexagonal,uniaxial,listed-only,,lead,Pb5(VO4)3Cl; do not ingest or dry-grind,,none
watermelon-tourmaline,Watermelon Tourmaline,mineral,trigonal,uniaxial,listed-only,,none,zoned elbaite,,heart
wulfenite,Wulfenite,mineral,tetragonal,uniaxial,listed-only,,lead,PbMoO4; do not ingest or dry-grind,,sacral
yellow-jasper,Yellow Jasper,mineral,trigonal,uniaxial,listed-only,,none,opaque chalcedony,,none
zebra-calcite,Zebra Calcite,mineral,trigonal,uniaxial,listed-only,,none,banded calcite,,none
zincite,Zincite,mineral,hexagonal,uniaxial,listed-only,,none,ZnO; much market material is furnace product,,none
